10:40:15.863 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.5.Final
10:40:17.469 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0
10:40:17.504 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 21 ms to scan 1 urls, producing 3 keys and 6 values 
10:40:17.522 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 7 ms to scan 1 urls, producing 4 keys and 9 values 
10:40:17.530 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 6 ms to scan 1 urls, producing 3 keys and 10 values 
10:40:17.617 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 85 ms to scan 209 urls, producing 0 keys and 0 values 
10:40:17.624 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 5 ms to scan 1 urls, producing 1 keys and 5 values 
10:40:17.631 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 6 ms to scan 1 urls, producing 1 keys and 7 values 
10:40:17.640 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 7 ms to scan 1 urls, producing 2 keys and 8 values 
10:40:17.719 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 78 ms to scan 209 urls, producing 0 keys and 0 values 
10:40:17.723 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
10:40:17.723 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$337/1778028150
10:40:17.723 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$338/199041063
10:40:17.724 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
10:40:17.724 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
10:40:17.731 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:40:20.752 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:40:22.782 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:40:24.844 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
10:40:24.844 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:40:24.845 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$346/337460547
10:40:26.197 [main] INFO  c.h.g.RuoYiGatewayApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
10:40:29.066 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Fail to connect server, after trying 1 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
10:40:30.976 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayFilter,144] - [Sentinel SpringCloudGateway] register SentinelGatewayFilter with order: -2147483648
10:40:31.310 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Fail to connect server, after trying 2 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
10:40:32.653 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayBlockExceptionHandler,134] - [Sentinel SpringCloudGateway] register SentinelGatewayBlockExceptionHandler
10:40:33.031 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of ea369af2-b060-40c8-aac6-7733aafad300_config-0
10:40:33.032 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
10:40:33.032 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$337/1778028150
10:40:33.032 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$338/199041063
10:40:33.032 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
10:40:33.032 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
10:40:33.032 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:40:33.666 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Fail to connect server, after trying 3 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
10:40:35.068 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:40:36.134 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Fail to connect server, after trying 4 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
10:40:37.119 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:40:38.703 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Fail to connect server, after trying 5 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
10:40:39.171 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:40:39.171 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
10:40:39.171 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$346/337460547
10:40:39.492 [main] INFO  c.a.c.s.d.c.SentinelConverter - [convert,79] - converter can not convert rules because source is empty
10:40:39.551 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of cbe12d4a-37ac-43bd-a08c-353b742d253d
10:40:39.551 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cbe12d4a-37ac-43bd-a08c-353b742d253d] RpcClient init label, labels = {module=naming, source=sdk}
10:40:39.553 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cbe12d4a-37ac-43bd-a08c-353b742d253d] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
10:40:39.553 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cbe12d4a-37ac-43bd-a08c-353b742d253d] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
10:40:39.553 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cbe12d4a-37ac-43bd-a08c-353b742d253d] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
10:40:39.553 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cbe12d4a-37ac-43bd-a08c-353b742d253d] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:40:41.357 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Fail to connect server, after trying 6 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
10:40:41.611 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cbe12d4a-37ac-43bd-a08c-353b742d253d] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:40:43.375 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Fail to connect server, after trying 1 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
10:40:43.661 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cbe12d4a-37ac-43bd-a08c-353b742d253d] Try to connect to server on start up, server: {serverIp = '127.0.0.1', server main port = 8848}
10:40:44.127 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Fail to connect server, after trying 7 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
10:40:45.621 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Fail to connect server, after trying 2 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
10:40:45.698 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cbe12d4a-37ac-43bd-a08c-353b742d253d] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
10:40:45.698 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cbe12d4a-37ac-43bd-a08c-353b742d253d] Try to reconnect to a new server, server is  not appointed, will choose a random server.
10:40:45.699 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cbe12d4a-37ac-43bd-a08c-353b742d253d] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$346/337460547
10:40:46.977 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2c22d580-004d-4408-a7b4-9e8cf8bdf62a_config-0] Fail to connect server, after trying 8 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
10:40:47.970 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ea369af2-b060-40c8-aac6-7733aafad300_config-0] Fail to connect server, after trying 3 times, last try server is {serverIp = '127.0.0.1', server main port = 8848}, error = unknown
10:40:49.904 [main] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
10:40:49.905 [main] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@531b1778[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
